date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:47	10152/10152	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2008:42:47%20GMT	https://pristavkaa2.solarserenade.uno/robots.txt		(from )
11:42:47	49399/49399	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2008:42:47%20GMT	https://pristavkaa2.solarserenade.uno/	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/index.html	(from )
11:42:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20May%202025%2008:42:47%20GMT	http://pristavkaa2.solarserenade.uno//og.png	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/og.0.delayed	(from https://pristavkaa2.solarserenade.uno/)
11:42:47	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20May%202025%2008:42:47%20GMT	https://pristavkaa2.solarserenade.uno//og.png	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/og.png	(from https://pristavkaa2.solarserenade.uno/)
11:42:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20May%202025%2008:42:48%20GMT	http://pristavkaa2.solarserenade.uno/index.php	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/index.php	(from https://pristavkaa2.solarserenade.uno/)
11:42:48	49399/49399	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2008:42:48%20GMT	https://pristavkaa2.solarserenade.uno/index.php	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/index-2.html	(from https://pristavkaa2.solarserenade.uno/)
11:42:48	5850/5850	---M--	200	added ('OK')	image/png	etag:%22681779c2-16da%22	https://pristavkaa2.solarserenade.uno/images/favicon.png	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/favicon.png	(from https://pristavkaa2.solarserenade.uno/)
11:42:48	1579/1579	---MCZ	200	added ('OK')	text/css	etag:W/%22681779c2-62b%22	https://pristavkaa2.solarserenade.uno/css/push.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/push.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:48	1202/1202	---MCZ	200	added ('OK')	text/css	etag:W/%22681779c2-4b2%22	https://pristavkaa2.solarserenade.uno/css/ProximaStara.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/ProximaStara.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:48	814/814	---MCZ	200	added ('OK')	text/css	etag:W/%22681779c2-32e%22	https://pristavkaa2.solarserenade.uno/css/Bratello.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/Bratello.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:49	342/342	---MCZ	200	added ('OK')	text/css	etag:W/%22681779c2-156%22	https://pristavkaa2.solarserenade.uno/css/fontss.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/fontss.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:49	1739/1739	---MCZ	200	added ('OK')	text/css	etag:W/%22681779c2-6cb%22	https://pristavkaa2.solarserenade.uno/css/slicka.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/slicka.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:49	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20May%202025%2008:42:49%20GMT	https://pristavkaa2.solarserenade.uno/css/options.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/options.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:49	16571/16571	---MCZ	200	added ('OK')	text/css	etag:W/%22681779c2-40bb%22	https://pristavkaa2.solarserenade.uno/css/nastyle.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/nastyle.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:50	11454/11454	---MCZ	200	added ('OK')	text/css	etag:W/%22681779c2-2cbe%22	https://pristavkaa2.solarserenade.uno/css/swiper-bundle.min.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/swiper-bundle.min.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:50	55231/55231	---MCZ	200	added ('OK')	text/css	etag:W/%22681779c2-d7bf%22	https://pristavkaa2.solarserenade.uno/css/all.min.css	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/css/all.min.css	(from https://pristavkaa2.solarserenade.uno/)
11:42:50	66767/66767	---M--	200	added ('OK')	image/jpeg	etag:%22681779c2-104cf%22	https://pristavkaa2.solarserenade.uno/images/ADhTyuE4T3ar.jpg	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/ADhTyuE4T3ar.jpg	(from https://pristavkaa2.solarserenade.uno/)
11:42:50	3977/3977	---M--	200	added ('OK')	image/png	etag:%22681779c2-f89%22	https://pristavkaa2.solarserenade.uno/images/XS6fbttaUIgm.png	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/XS6fbttaUIgm.png	(from https://pristavkaa2.solarserenade.uno/)
11:42:50	16675/16675	---M--	200	added ('OK')	image/png	etag:%22681779c2-4123%22	https://pristavkaa2.solarserenade.uno/images/LKvurt5AgpH6.png	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/LKvurt5AgpH6.png	(from https://pristavkaa2.solarserenade.uno/)
11:42:51	10146/10146	---M--	200	added ('OK')	image/jpeg	etag:%22681779c2-27a2%22	https://pristavkaa2.solarserenade.uno/images/g9nXtD5LDSge.jpg	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/g9nXtD5LDSge.jpg	(from https://pristavkaa2.solarserenade.uno/)
11:42:51	389316/389316	---M--	200	added ('OK')	image/jpeg	etag:%22681779c2-5f0c4%22	https://pristavkaa2.solarserenade.uno/images/1_1.jpg	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/1_1.jpg	(from https://pristavkaa2.solarserenade.uno/)
11:42:51	103572/103572	---M--	200	added ('OK')	image/webp	etag:%22681779c2-19494%22	https://pristavkaa2.solarserenade.uno/images/2.webp	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/2.webp	(from https://pristavkaa2.solarserenade.uno/)
11:42:51	3312671/3312671	---M--	200	added ('OK')	video/mp4	etag:%22681779c2-328c1f%22	https://pristavkaa2.solarserenade.uno/media/1.mp4	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/media/1.mp4	(from https://pristavkaa2.solarserenade.uno/)
11:42:52	71396/71396	---M--	200	added ('OK')	image/webp	etag:%22681779c2-116e4%22	https://pristavkaa2.solarserenade.uno/images/3.webp	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/3.webp	(from https://pristavkaa2.solarserenade.uno/)
11:42:52	109234/109234	---M--	200	added ('OK')	image/webp	etag:%22681779c2-1aab2%22	https://pristavkaa2.solarserenade.uno/images/4.webp	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/4.webp	(from https://pristavkaa2.solarserenade.uno/)
11:42:52	80452/80452	---M--	200	added ('OK')	image/webp	etag:%22681779c2-13a44%22	https://pristavkaa2.solarserenade.uno/images/5.webp	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/5.webp	(from https://pristavkaa2.solarserenade.uno/)
11:42:52	4102/4102	---M--	200	added ('OK')	image/webp	etag:%22681779c2-1006%22	https://pristavkaa2.solarserenade.uno/images/6.webp	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/6.webp	(from https://pristavkaa2.solarserenade.uno/)
11:42:52	11948/11948	---M--	200	added ('OK')	image/webp	etag:%22681779c2-2eac%22	https://pristavkaa2.solarserenade.uno/images/7.webp	C:/COPYSITE2PRISTAVKA/pristavka3/pristavkaa2.solarserenade.uno/images/7.webp	(from https://pristavkaa2.solarserenade.uno/)
